"id","instance","device","method","disappear_at_goal","rand_seed","cost","run_time","comment","method_source","date_edit"
"52","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","0","-1","64","64.6444","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:47:19"
"53","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","0","-1","64","64.3971","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:50:16"
"54","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","0","-1","53","0.003102","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:25"
"55","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","0","-1","53","0.00259","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:28"
"56","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","0","-1","53","0.003193","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:28"
"57","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","0","-1","53","0.003223","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:29"
"58","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","0","-1","53","0.002683","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:30"
"59","map_8by8_obst12_agents8_ex6.yaml","12400F","whoenig-origin","0","-1","34","0.003479","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:41"
"60","map_8by8_obst12_agents8_ex6.yaml","12400F","whoenig-origin","0","-1","34","0.003167","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:43"
"61","map_8by8_obst12_agents8_ex6.yaml","12400F","whoenig-origin","0","-1","34","0.002802","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:44"
"62","map_8by8_obst12_agents8_ex6.yaml","12400F","whoenig-origin","0","-1","34","0.003918","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:44"
"63","map_8by8_obst12_agents8_ex6.yaml","12400F","whoenig-origin","0","-1","34","0.003638","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:45"
"64","map_8by8_obst12_agents8_ex7.yaml","12400F","whoenig-origin","0","-1","61","0.021367","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:53"
"65","map_8by8_obst12_agents8_ex7.yaml","12400F","whoenig-origin","0","-1","61","0.021469","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:54"
"66","map_8by8_obst12_agents8_ex7.yaml","12400F","whoenig-origin","0","-1","61","0.027788","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:55"
"67","map_8by8_obst12_agents8_ex7.yaml","12400F","whoenig-origin","0","-1","61","0.021464","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:56"
"68","map_8by8_obst12_agents8_ex7.yaml","12400F","whoenig-origin","0","-1","61","0.027885","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:53:57"
"69","map_8by8_obst12_agents8_ex8.yaml","12400F","whoenig-origin","0","-1","50","0.002995","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:05"
"70","map_8by8_obst12_agents8_ex8.yaml","12400F","whoenig-origin","0","-1","50","0.002856","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:06"
"71","map_8by8_obst12_agents8_ex8.yaml","12400F","whoenig-origin","0","-1","50","0.004569","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:07"
